donor,group,LEPR_gene_TPM,LEPR_gene_NumReads,LepRa_like_short_TPM,LepRb_like_long_TPM,frac_long,LEPR-202_ENST00000349533_TPM,LEPR-201_ENST00000344610_TPM,LEPR-203_ENST00000371058_TPM,LEPR-205_ENST00000371060_TPM,LEPR-208_ENST00000616738_TPM,LEPR-204_ENST00000371059_TPM,LEPR-206_ENST00000462765_TPM,LEPR-207_ENST00000471762_TPM
MS1,MS,23.0259,7597.77,20.1684,0.7885,0.0376,0.7885,0.5003,0.0000,9.5454,10.1227,1.5229,0.0000,0.5461
MS2,MS,4.6108,1636.03,4.2209,0.1255,0.0289,0.1255,0.0000,0.0000,2.4155,1.8055,0.2643,0.0000,0.0000
MS3,MS,18.3067,5584.82,16.0682,0.2626,0.0161,0.2626,0.1822,0.0000,9.1363,6.7497,0.6387,0.8355,0.5018
MS4,MS,12.7501,6279.66,11.4754,0.2510,0.0214,0.2510,0.0000,0.0000,4.8566,6.6188,0.7099,0.0000,0.3138
MS5,MS,27.3937,9176.73,22.4503,1.4121,0.0592,1.4121,0.1537,0.0000,8.0667,14.2299,0.8053,2.1193,0.6068
MS6,MS,29.6080,11100.60,24.9150,1.7237,0.0647,1.7237,0.1556,0.0000,11.0766,13.6827,0.6222,1.8818,0.4653
ctrl1,control,21.9908,8508.73,19.0292,0.3518,0.0182,0.3518,0.0000,0.0000,9.1309,9.8983,0.7511,1.4594,0.3992
ctrl2,control,12.6932,5567.98,11.8253,0.2168,0.0180,0.2168,0.0000,0.0000,5.8966,5.9287,0.4257,0.0000,0.2253
ctrl3,control,30.0672,6574.53,27.8344,1.0331,0.0358,1.0331,0.0000,0.0000,7.5167,20.3178,0.6010,0.0000,0.5985
ctrl4,control,5.6655,2279.03,4.8648,0.1435,0.0287,0.1435,0.0000,0.0000,1.8050,3.0598,0.5341,0.0000,0.1231
ctrl5,control,7.3344,3972.33,6.5787,0.2039,0.0301,0.2039,0.0000,0.0000,3.7305,2.8481,0.2758,0.2087,0.0673
ctrl6,control,8.1688,2188.99,6.9197,0.1669,0.0236,0.1669,0.0000,0.0000,2.5823,4.3374,0.7441,0.0000,0.3382
