cohort,donor,ENST00000371060_TPM,ENST00000616738_TPM,ENST00000349533_long_TPM
GSE228458,ctrl1,6.5184,36.5418,1.3142
GSE228458,ctrl2,1.2509,8.6438,0.3501
GSE228458,ctrl3,2.2384,13.4935,0.7041
GSE228458,ctrl4,3.6859,15.0232,0.7213
GSE228458,ctrl5,0.4956,6.6016,1.4405
GSE137619,ctrl1,9.1309,9.8983,0.3518
GSE137619,ctrl2,5.8966,5.9287,0.2168
GSE137619,ctrl3,7.5167,20.3178,1.0331
GSE137619,ctrl4,1.8050,3.0598,0.1435
GSE137619,ctrl5,3.7305,2.8481,0.2039
GSE137619,ctrl6,2.5823,4.3374,0.1669
