donor,group,SRR,total_reads,sampling_method,seed,prop_sampled,n_reads_sampled,LepRa_reads,LepRb_reads,LepRa_CPM,LepRb_CPM,LepRb_fraction
ctrl1,control,SRR24003390,61470845,seqkit_sample_random,42,0.488,29997772,101,2,3.367,0.067,0.0194
ctrl2,control,SRR24003388,73663918,seqkit_sample_random,42,0.4073,30003313,30,0,1.000,0.000,0.0000
ctrl3,control,SRR24003385,58442057,seqkit_sample_random,42,0.5133,29998307,52,4,1.733,0.133,0.0714
ctrl4,control,SRR24003383,58336326,seqkit_sample_random,42,0.5143,30002372,55,0,1.833,0.000,0.0000
ctrl5,control,SRR24003378,61907603,seqkit_sample_random,42,0.4846,30000424,7,0,0.233,0.000,0.0000
AD1,AD,SRR24003376,56346810,seqkit_sample_random,42,0.5324,29999041,69,3,2.300,0.100,0.0417
AD2,AD,SRR24003374,54407654,seqkit_sample_random,42,0.5514,30000380,45,1,1.500,0.033,0.0217
AD3,AD,SRR24003372,70443678,seqkit_sample_random,42,0.4259,30001962,40,2,1.333,0.067,0.0476
AD4,AD,SRR24003370,55045594,seqkit_sample_random,42,0.545,29999848,17,0,0.567,0.000,0.0000
DM1_1,DM1,SRR24003392,63904860,seqkit_sample_random,42,0.4694,29996941,59,0,1.967,0.000,0.0000
DM1_2,DM1,SRR24003381,71943537,seqkit_sample_random,42,0.417,30000454,23,0,0.767,0.000,0.0000
DM1_3,DM1,SRR24003377,36054897,seqkit_sample_random,42,0.8321,30001279,7,0,0.233,0.000,0.0000
DM1_4,DM1,SRR24003393,63290823,seqkit_sample_random,42,0.474,29999850,20,0,0.667,0.000,0.0000
